================================================================================
PRODUCTION TRAINING RUN - 50,000 EPOCHS
Started: 2025-12-28T23:14:55.230
================================================================================

1. Loading HankNN...
Loading HankNN code via include()...
✓ All HankNN code loaded!
✓ You can now use all functions directly
✓ Modify any .jl file and run: include("load_hank.jl") to reload
✓ Random seed: 1234
✓ Parameters and config defined
✓ Helper functions defined

================================================================================
TRAINING WITH 50000 EPOCHS
================================================================================

--------------------------------------------------------------------------------
1. TRAIN_SIMPLE! (baseline)
--------------------------------------------------------------------------------
Epoch 100, Loss: 0.013491651640998045, res_X: 0.013192707323074461, res_π: 0.0002989443179235834
Epoch 200, Loss: 0.004811078035944692, res_X: 0.004441731006629063, res_π: 0.00036934702931562985
Epoch 300, Loss: 0.0015854001634113548, res_X: 0.0012827765964879805, res_π: 0.0003026235669233743
Epoch 400, Loss: 0.0018499613016295224, res_X: 0.0012792115493368682, res_π: 0.000570749752292654
Epoch 500, Loss: 0.0010002899789439707, res_X: 0.0007432120414568686, res_π: 0.00025707793748710214
Epoch 600, Loss: 0.0017154167131376418, res_X: 0.001515047483071673, res_π: 0.0002003692300659688
Epoch 700, Loss: 0.0008162634391599012, res_X: 0.0007015371115498216, res_π: 0.00011472632761007958
Epoch 800, Loss: 0.0008170900039455183, res_X: 0.0006841925441952147, res_π: 0.00013289745975030362
Epoch 900, Loss: 0.0008099691802474412, res_X: 0.0006583193896382483, res_π: 0.00015164979060919295
Epoch 1000, Loss: 0.00047175607004669527, res_X: 0.0004059567835005144, res_π: 6.57992865461809e-5
Epoch 1100, Loss: 0.0004893918291066402, res_X: 0.0003344951502343244, res_π: 0.00015489667887231577
Epoch 1200, Loss: 0.0006264947106945103, res_X: 0.0005782227871787174, res_π: 4.827192351579297e-5
Epoch 1300, Loss: 0.0006219560606537871, res_X: 0.0005456216153104513, res_π: 7.633444534333584e-5
Epoch 1400, Loss: 0.0003927445325008401, res_X: 0.0003382943422554949, res_π: 5.445019024534519e-5
Epoch 1500, Loss: 0.000602458369890687, res_X: 0.0004333803153262976, res_π: 0.00016907805456438938
Epoch 1600, Loss: 0.0004719641484422217, res_X: 0.00041321439116121097, res_π: 5.87497572810107e-5
Epoch 1700, Loss: 0.00030779076504365815, res_X: 0.00022780385555854453, res_π: 7.998690948511361e-5
Epoch 1800, Loss: 0.0003060976431118393, res_X: 0.00026779866159608095, res_π: 3.829898151575835e-5
Epoch 1900, Loss: 0.0002772777622138638, res_X: 0.00024357980624859575, res_π: 3.369795596526806e-5
Epoch 2000, Loss: 0.0002559816526997612, res_X: 0.00017648411100540943, res_π: 7.94975416943518e-5
Epoch 2100, Loss: 0.00019057514675535362, res_X: 0.00013858757716521175, res_π: 5.198756959014188e-5
Epoch 2200, Loss: 0.0001719430340240996, res_X: 0.00013910934574530736, res_π: 3.283368827879225e-5
Epoch 2300, Loss: 0.00015034831225837103, res_X: 0.00012951614218895049, res_π: 2.0832170069420545e-5
Epoch 2400, Loss: 0.00013475323414881022, res_X: 0.00012275732954265657, res_π: 1.1995904606153642e-5
Epoch 2500, Loss: 0.00019075951821789818, res_X: 0.00015974840366161865, res_π: 3.101111455627953e-5
Epoch 2600, Loss: 0.0002155850104744024, res_X: 0.00018613458119698693, res_π: 2.945042927741548e-5
Epoch 2700, Loss: 0.00026235331916704, res_X: 0.0002226223906732309, res_π: 3.97309284938091e-5
Epoch 2800, Loss: 0.00022657650385964499, res_X: 0.00019618428453422492, res_π: 3.039221932542006e-5
Epoch 2900, Loss: 0.00014272979760037135, res_X: 0.0001226288235052919, res_π: 2.0100974095079443e-5
Epoch 3000, Loss: 0.00034122841777335097, res_X: 0.0002853253899529327, res_π: 5.590302782041829e-5
Epoch 3100, Loss: 0.00018842137822492252, res_X: 0.00014161253266978637, res_π: 4.680884555513615e-5
Epoch 3200, Loss: 0.00016343582608043336, res_X: 0.00012612049962864734, res_π: 3.731532645178603e-5
Epoch 3300, Loss: 0.00021455227544065, res_X: 0.00017728132293637805, res_π: 3.727095250427197e-5
Epoch 3400, Loss: 0.00017921446355808658, res_X: 0.00015849887962379904, res_π: 2.0715583934287535e-5
Epoch 3500, Loss: 0.00013393905500445864, res_X: 0.00010854469655287553, res_π: 2.53943584515831e-5
Epoch 3600, Loss: 0.00043247785722726786, res_X: 0.000375951557755437, res_π: 5.652629947183084e-5
Epoch 3700, Loss: 0.0004364922855581913, res_X: 0.00022344037827464033, res_π: 0.00021305190728355099
Epoch 3800, Loss: 0.00012240186606220045, res_X: 0.00011339125639461494, res_π: 9.010609667585498e-6
Epoch 3900, Loss: 0.00016293969442343409, res_X: 0.00011839739833604117, res_π: 4.4542296087392913e-5
Epoch 4000, Loss: 0.00013065419166116148, res_X: 0.00010946923478583536, res_π: 2.1184956875326125e-5
Epoch 4100, Loss: 9.712837296493675e-5, res_X: 7.988631354648928e-5, res_π: 1.7242059418447466e-5
Epoch 4200, Loss: 7.353105781470583e-5, res_X: 6.13884329217875e-5, res_π: 1.2142624892918323e-5
Epoch 4300, Loss: 9.889567186365683e-5, res_X: 8.336224779956531e-5, res_π: 1.553342406409151e-5
Epoch 4400, Loss: 0.0002463260545248929, res_X: 0.0002179850754635785, res_π: 2.8340979061314422e-5
Epoch 4500, Loss: 0.00022109665215321798, res_X: 0.00019954152065029435, res_π: 2.155513150292364e-5
Epoch 4600, Loss: 0.00015124184717436176, res_X: 0.00012543473010932454, res_π: 2.5807117065037218e-5
Epoch 4700, Loss: 0.00015615784977505875, res_X: 0.000124089093130296, res_π: 3.206875664476274e-5
Epoch 4800, Loss: 0.00017776537302977745, res_X: 0.0001663235415310413, res_π: 1.1441831498736161e-5
Epoch 4900, Loss: 0.00014840440485734457, res_X: 0.00012070406881082893, res_π: 2.7700336046515632e-5
Epoch 5000, Loss: 0.0001330585942549712, res_X: 0.00010996826898883135, res_π: 2.309032526613988e-5
Epoch 5100, Loss: 0.0001028164488953355, res_X: 8.965112508557066e-5, res_π: 1.3165323809764833e-5
Epoch 5200, Loss: 0.00011776346053348909, res_X: 0.00010914689243094136, res_π: 8.616568102547732e-6
Epoch 5300, Loss: 0.00014658075418881703, res_X: 0.00012267448186414437, res_π: 2.390627232467265e-5
Epoch 5400, Loss: 8.826249526616604e-5, res_X: 7.903980480379456e-5, res_π: 9.222690462371477e-6
Epoch 5500, Loss: 7.091958880444504e-5, res_X: 4.757530612592553e-5, res_π: 2.3344282678519507e-5
Epoch 5600, Loss: 8.98598059058262e-5, res_X: 6.536755272299376e-5, res_π: 2.4492253182832435e-5
Epoch 5700, Loss: 8.42341585907549e-5, res_X: 7.266641089318272e-5, res_π: 1.1567747697572184e-5
Epoch 5800, Loss: 0.00010249638833444369, res_X: 8.560151560374906e-5, res_π: 1.689487273069463e-5
Epoch 5900, Loss: 0.0001592234622872763, res_X: 0.000137003304508537, res_π: 2.22201577787393e-5
Epoch 6000, Loss: 0.00037036124974671543, res_X: 0.00018154170413252054, res_π: 0.0001888195456141949
Epoch 6100, Loss: 7.354003188763506e-5, res_X: 5.394558871944212e-5, res_π: 1.959444316819294e-5
Epoch 6200, Loss: 5.127213271494804e-5, res_X: 4.3953581679702754e-5, res_π: 7.318551035245288e-6
Epoch 6300, Loss: 0.00011141098198677989, res_X: 0.00010100906424306042, res_π: 1.0401917743719457e-5
Epoch 6400, Loss: 5.2392243568449686e-5, res_X: 4.236130432295229e-5, res_π: 1.0030939245497395e-5
Epoch 6500, Loss: 0.00010036750383212474, res_X: 8.466645425866105e-5, res_π: 1.570104957346369e-5
Epoch 6600, Loss: 0.00014143444087719284, res_X: 0.0001266575774019926, res_π: 1.4776863475200218e-5
Epoch 6700, Loss: 0.00018926974770108648, res_X: 0.00013802947809348225, res_π: 5.124026960760423e-5
Epoch 6800, Loss: 7.93753738065167e-5, res_X: 6.765867263498009e-5, res_π: 1.1716701171536615e-5
Epoch 6900, Loss: 5.44652726525665e-5, res_X: 3.9548578728144605e-5, res_π: 1.4916693924421895e-5
Epoch 7000, Loss: 6.256374574505505e-5, res_X: 5.482485934211838e-5, res_π: 7.738886402936678e-6
Epoch 7100, Loss: 0.0001256758114849559, res_X: 0.00010508205254042711, res_π: 2.05937589445288e-5
Epoch 7200, Loss: 9.565569463360066e-5, res_X: 7.170682274394109e-5, res_π: 2.394887188965958e-5
Epoch 7300, Loss: 0.0002233351989444649, res_X: 0.00019644983382689332, res_π: 2.688536511757157e-5
Epoch 7400, Loss: 5.481583718850184e-5, res_X: 3.7207181488325485e-5, res_π: 1.7608655700176353e-5
Epoch 7500, Loss: 0.00012469067651838244, res_X: 0.0001137631565222282, res_π: 1.0927519996154248e-5
Epoch 7600, Loss: 0.00011206151660005174, res_X: 0.00010169179854539937, res_π: 1.0369718054652364e-5
